timestamp_us,raw
86594900,1897.0
86596900,1901.0
86598900,1898.0
86600900,1901.0
86602900,1897.0
86604900,1904.0
86606900,1897.0
86608900,1904.0
86610900,1898.0
86612900,1900.0
86614900,1894.0
86616900,1894.0
86618900,1904.0
86620900,1904.0
86622900,1894.0
86624900,1910.0
86626900,1908.0
86628900,1908.0
86630900,1898.0
86632900,1904.0
86634900,1909.0
86636899,1907.0
86638900,1922.0
86640900,1905.0
86642900,1915.0
86644900,1915.0
86646900,1918.0
86648900,1919.0
86650900,1915.0
86652900,1911.0
86654900,1923.0
86656900,1914.0
86658900,1921.0
86660899,1924.0
86662900,1904.0
86664899,1902.0
86666900,1907.0
86668900,1903.0
86670900,1904.0
86672900,1889.0
86674900,1901.0
86676900,1902.0
86678900,1903.0
86680900,1899.0
86682900,1913.0
86684900,1904.0
86686900,1891.0
86688900,1895.0
86690900,1897.0
86692900,1899.0
86694900,1905.0
86696900,1904.0
86698900,1899.0
86700900,1904.0
86702900,1903.0
86704900,1903.0
86706900,1903.0
86708900,1897.0
86710900,1904.0
86712900,1904.0
86714900,1898.0
86716900,1904.0
86718900,1888.0
86720899,1920.0
86722900,1897.0
86724900,1904.0
86726900,1904.0
86728900,1903.0
86730900,1898.0
86732900,1893.0
86734900,1904.0
86736900,1913.0
86738900,1915.0
86740900,1910.0
86742899,1904.0
86744900,1920.0
86746900,1911.0
86748900,1904.0
86750900,1906.0
86752900,1914.0
86754900,1911.0
86756899,1913.0
86758900,1905.0
86760900,1914.0
86762899,1903.0
86764900,1904.0
86766900,1900.0
86768900,1904.0
86770900,1894.0
86772900,1899.0
86774900,1892.0
86776900,1894.0
86778900,1894.0
86780900,1898.0
86782899,1895.0
86784899,1905.0
86786900,1902.0
86788900,1898.0
86790900,1907.0
86792900,1895.0
86794899,1898.0
86796900,1893.0
86798900,1903.0
86800900,1906.0
86802900,1888.0
86804900,1901.0
86806900,1901.0
86808900,1902.0
86810899,1898.0
86812900,1899.0
86814900,1904.0
86816900,1904.0
86818900,1899.0
86820900,1900.0
86822900,1898.0
86824899,1899.0
86826900,1904.0
86828900,1899.0
86830900,1904.0
86832900,1914.0
86834900,1898.0
86836900,1907.0
86838899,1910.0
86840900,1913.0
86842900,1917.0
86844899,1904.0
86846900,1915.0
86848900,1914.0
86850900,1917.0
86852900,1917.0
86854900,1915.0
86856900,1916.0
86858900,1909.0
86860900,1911.0
86862900,1908.0
86864900,1904.0
86866900,1904.0
86868899,1904.0
86870900,1902.0
86872900,1904.0
86874900,1906.0
86876900,1895.0
86878899,1895.0
86880900,1914.0
86882900,1899.0
86884899,1902.0
86886900,1895.0
86888900,1903.0
86890899,1898.0
86892900,1902.0
86894900,1899.0
86896900,1901.0
86898899,1904.0
86900900,1903.0
86902899,1900.0
86904899,1899.0
86906900,1899.0
86908900,1895.0
86910899,1901.0
86912900,1893.0
86914900,1911.0
86916900,1898.0
86918900,1899.0
86920900,1899.0
86922900,1900.0
86924900,1907.0
86926899,1901.0
86928900,1904.0
86930900,1904.0
86932900,1906.0
86934900,1904.0
86936899,1911.0
86938900,1906.0
86940900,1914.0
86942900,1920.0
86944899,1925.0
86946899,1920.0
86948900,1914.0
86950900,1916.0
86952900,1910.0
86954900,1890.0
86956899,1920.0
86958900,1908.0
86960900,1900.0
86962900,1907.0
86964900,1906.0
86966900,1911.0
86968900,1904.0
86970900,1902.0
86972900,1904.0
86974900,1901.0
86976900,1902.0
86978900,1903.0
86980900,1901.0
86982900,1903.0
86984900,1901.0
86986900,1901.0
86988900,1897.0
86990900,1901.0
86992900,1898.0
86994900,1907.0
86996899,1899.0
86998900,1888.0
87000900,1902.0
87002899,1921.0
87004900,1899.0
87006900,1904.0
87008899,1891.0
87010900,1910.0
87012899,1895.0
87014900,1888.0
87016900,1919.0
87018900,1898.0
87020900,1883.0
87022900,1903.0
87024900,1910.0
87026900,1904.0
87028900,1904.0
87030900,1904.0
87032900,1952.0
87034900,1930.0
87036900,1894.0
87038900,1904.0
87040900,1968.0
87042900,1914.0
87044899,1921.0
87046899,1931.0
87048900,1936.0
87050900,1907.0
87052899,1941.0
87054900,1902.0
87056900,1915.0
87058900,1831.0
87060899,1911.0
87062899,1936.0
87064900,1915.0
87066899,1904.0
87068900,1858.0
87070900,1912.0
87072900,1891.0
87074900,1895.0
87076900,1894.0
87078900,1890.0
87080900,1904.0
87082900,1885.0
87084899,1926.0
87086900,1895.0
87088899,1904.0
87090900,1902.0
87092900,1901.0
87094900,1878.0
87096899,1902.0
87098900,1897.0
87100900,1899.0
87102900,1921.0
87104900,1904.0
87106900,1904.0
87108900,1897.0
87110900,1879.0
87112900,1900.0
87114900,1898.0
87116900,1882.0
87118900,1925.0
87120899,1932.0
87122900,1892.0
87124900,1901.0
87126900,1971.0
87128900,1877.0
87130900,1903.0
87132900,1904.0
87134900,1911.0
87136900,1909.0
87138900,1911.0
87140900,1914.0
87142900,1926.0
87144900,1956.0
87146899,1931.0
87148900,1907.0
87150899,1907.0
87152900,1904.0
87154900,1909.0
87156900,1937.0
87158900,1907.0
87160899,1906.0
87162900,1904.0
87164900,1907.0
87166900,1914.0
87168900,1904.0
87170900,1900.0
87172900,1907.0
87174900,1897.0
87176900,1901.0
87178900,1909.0
87180900,1897.0
87182900,1909.0
87184900,1903.0
87186900,1891.0
87188900,1950.0
87190900,1915.0
87192900,1903.0
87194900,1905.0
87196900,1890.0
87198900,1888.0
87200900,1911.0
87202900,1919.0
87204899,1895.0
87206900,1899.0
87208900,1903.0
87210899,1971.0
87212899,1889.0
87214900,1911.0
87216900,1868.0
87218899,1900.0
87220900,1922.0
87222899,1909.0
87224900,1904.0
87226900,1904.0
87228900,1902.0
87230900,1907.0
87232900,1904.0
87234899,1894.0
87236900,1888.0
87238900,1907.0
87240899,1923.0
87242900,1907.0
87244900,1919.0
87246900,1918.0
87248900,1909.0
